time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
45,12,NB-IoT,336.301,18.9983,DELIVERED,0,15.4519,63.7703,1,1,10,100
45,13,NB-IoT,364.624,6.01056,DELIVERED,0,54.9358,42.2788,1,1,10,100
50,4,NB-IoT,364.165,7,DELIVERED,0,34.7473,54.8542,1,1,10,100
50,5,NB-IoT,381.995,21.003,DELIVERED,0,89.9919,36.7515,1,1,10,100
50,6,NB-IoT,392.013,12,DELIVERED,0,90.0192,35.055,1,1,10,100
50,7,NB-IoT,388.979,15.9945,DELIVERED,0,89.9692,45.2942,1,1,10,100
50,8,NB-IoT,402.405,45,DELIVERED,0,71.1074,44.2301,1,1,10,100
50,9,NB-IoT,395.969,42,DELIVERED,0,70.4537,52.4583,1,1,10,100
50,10,NB-IoT,378.647,1.00169,DELIVERED,0,87.971,36.2791,1,1,10,100
50,11,NB-IoT,364.771,23.0056,DELIVERED,0,80.6562,34.759,1,1,10,100
50,12,NB-IoT,343.298,6.99708,DELIVERED,0,15.4475,67.2019,1,1,10,100
50,13,NB-IoT,354.624,10,DELIVERED,0,54.9358,59.6524,1,1,10,100
55,4,NB-IoT,346.173,17.9919,DELIVERED,0,34.7594,49.8398,1,1,10,100
55,5,NB-IoT,372.002,9.99246,DELIVERED,0,90.0032,34.2111,1,1,10,100
55,6,NB-IoT,387.006,5.0065,DELIVERED,0,90.0094,28.7634,1,1,10,100
55,7,NB-IoT,349.979,39,DELIVERED,0,89.9692,32.6844,1,1,10,100
55,8,NB-IoT,393.401,9.00413,DELIVERED,0,71.1012,37.0811,1,1,10,100
55,9,NB-IoT,352.989,42.9799,DELIVERED,0,70.4839,43.1443,1,1,10,100
55,10,NB-IoT,397.653,19.0054,DELIVERED,0,87.979,45.2092,1,1,10,100
55,11,NB-IoT,389.771,25,DELIVERED,0,80.6562,38.2457,1,1,10,100
55,12,NB-IoT,330.285,13.0137,DELIVERED,0,15.427,63.214,1,1,10,100
55,13,NB-IoT,357.619,2.99471,DELIVERED,0,54.9279,37.1722,1,1,10,100
60,4,NB-IoT,329.159,17.0141,DELIVERED,0,34.7382,61.2199,1,1,10,100
60,5,NB-IoT,386.008,14.0057,DELIVERED,0,90.0118,40.3413,1,1,10,100
60,6,NB-IoT,398.009,11.0031,DELIVERED,0,90.0141,43.1271,1,1,10,100
