time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
5,19,Tilapia,-190.912,-343.42,-0.625326,-190.966,-343.445,0,0.0595328,22.0268,5.85381,8.00761,0.186745,0.433208,0.556479,0.67998
5,20,Tilapia,-418.512,48.0881,-0.719677,-418.395,48.1435,0,0.129828,22.0518,5.92223,8.00609,0.332823,0.667488,0.268795,0.637963
5,21,Tilapia,-196.589,-404.787,-1.90376,-196.594,-404.659,0,0.128703,22.0872,5.67947,8.01332,0.171632,0.432095,0.594243,0.714545
5,22,Tilapia,347.973,109.741,-1.58589,347.843,109.674,0,0.145831,22.0635,5.79031,7.99761,0.649747,0.379326,0.578315,0.236909
5,23,Tilapia,158.122,235.347,-0.403818,158.138,235.279,0,0.0695897,21.9991,5.85378,7.99707,0.610867,0.496617,0.430011,0.241622
5,24,Tilapia,-125.095,444.821,-0.418736,-125.088,444.878,0,0.0576471,22.123,5.71814,8.00762,0.634657,0.709098,0.216592,0.383384
5,25,Tilapia,117.116,-287.064,-0.154755,117.131,-287.128,0,0.0653476,22.0585,5.89827,7.9955,0.39337,0.247097,0.620136,0.539116
5,26,Tilapia,77.9207,-182.836,-0.813475,77.8814,-182.845,0,0.0402447,22.1624,5.64453,7.99282,0.394445,0.30541,0.54942,0.489456
5,27,Tilapia,-75.7466,9.45862,-0.813864,-75.7544,9.47361,0,0.0168708,21.8582,5.77929,7.98581,0.39505,0.465488,0.38535,0.457246
5,28,Tilapia,-297.638,167.895,-0.271748,-297.62,167.926,0,0.0358215,22.0856,5.90086,8.01036,0.424275,0.646627,0.213726,0.532674
5,29,Tilapia,-389.474,225.411,-0.135608,-389.453,225.361,0,0.0542666,22.1327,5.68236,8.00321,0.452061,0.718282,0.155119,0.579341
5,30,Tilapia,-171.005,-316.202,-1.0774,-171.046,-316.074,0,0.134109,21.9513,5.97722,7.98484,0.206332,0.423563,0.543528,0.657541
5,31,Tilapia,379.057,-163.76,-1.49152,379.023,-163.827,0,0.0754902,22.2692,5.80014,7.99853,0.58471,0.196586,0.687706,0.411977
5,32,Tilapia,-345.803,287.958,-1.41612,-345.783,288,0,0.0459038,22.3189,5.84139,7.9831,0.496888,0.723502,0.128412,0.541445
5,33,Tilapia,156.814,398.672,-1.30718,156.77,398.671,0,0.0438726,22.1747,5.6802,7.99944,0.69553,0.598707,0.406029,0.198438
5,34,Tilapia,263.869,362.948,-1.6237,263.768,363.014,0,0.120878,22.0444,5.92131,7.98464,0.721298,0.556148,0.479455,0.137056
5,35,Tilapia,-380.802,-104.759,-0.343005,-380.776,-104.815,0,0.0616426,22.2531,6.01267,8.00538,0.234723,0.599846,0.372804,0.665938
5,36,Tilapia,275.383,-0.150811,-0.889265,275.343,-0.178257,0,0.0484798,22.0075,5.81975,8.00784,0.568984,0.321694,0.569139,0.321882
5,37,Tilapia,184.083,-163.122,-1.83079,184.076,-163.072,0,0.0505285,22.2278,5.79494,8.0154,0.464013,0.260827,0.588009,0.445548
5,38,Tilapia,79.4187,101.829,-0.422363,79.3351,101.887,0,0.10214,21.9582,5.81815,8.00595,0.509812,0.443203,0.42236,0.339018
5,39,Tilapia,121.628,403.983,-0.32441,121.623,403.963,0,0.0210543,21.9274,5.86182,8.01628,0.685112,0.610022,0.382371,0.221073
5,40,Tilapia,335.692,92.2031,-0.625639,335.681,92.2194,0,0.0198849,22.1822,5.79547,8.00315,0.63646,0.369483,0.575602,0.250441
5,41,Tilapia,258.232,62.4674,-0.248903,258.223,62.4928,0,0.0270778,22.1762,5.91827,7.98852,0.582807,0.364853,0.538281,0.28821
5,42,Tilapia,-262.879,-386.9,-1.64243,-262.913,-386.892,0,0.0350555,22.1544,5.8219,7.99227,0.131655,0.477173,0.571743,0.732921
5,43,Tilapia,291.028,343.229,-0.573308,291.016,343.15,0,0.0791063,22.2586,5.79599,7.97049,0.723671,0.539355,0.499187,0.127731
5,44,Tilapia,-187.549,-238.238,-1.1714,-187.522,-238.269,0,0.0412901,21.993,5.60234,8.00015,0.224841,0.447857,0.491095,0.625468
5,45,Tilapia,-12.1885,-373.255,-1.24675,-12.2076,-373.21,0,0.0486932,22.3286,5.75606,8.00303,0.296358,0.312403,0.62163,0.629435
5,46,Tilapia,43.0003,144.752,-0.26761,43.0083,144.797,0,0.0452442,22.2361,5.76105,8.01131,0.515095,0.480465,0.386559,0.339251
5,47,Tilapia,-414.225,-187.794,-1.86816,-414.405,-187.738,0,0.188226,21.9182,5.80956,8.01664,0.176435,0.602152,0.425782,0.716182
5,48,Tilapia,-439.516,59.7473,-1.04422,-439.502,59.7254,0,0.0259285,21.9119,5.76445,7.99188,0.339904,0.683533,0.260313,0.647535
5,49,Tilapia,-176.233,294.973,-0.173393,-176.143,294.939,0,0.0963561,22.0262,5.78767,8.00168,0.529166,0.648767,0.209838,0.430102
5,50,Tilapia,134.261,-429.5,-1.13356,134.215,-429.566,0,0.0801926,22.131,5.84452,8.0105,0.38968,0.210955,0.703976,0.622926
5,51,Tilapia,182.541,409.675,-1.96243,182.485,409.682,0,0.05622,22.0018,5.78557,8.00955,0.711494,0.600255,0.422519,0.180308
5,52,Tilapia,368.699,-134.916,-0.305542,368.701,-134.838,0,0.0779937,21.8772,5.90788,7.98782,0.584878,0.216987,0.670705,0.393718
5,53,Tilapia,-195.857,-405.142,-2.08213,-195.918,-405.165,0,0.0645525,22.0345,5.73837,8.01428,0.171956,0.431584,0.59467,0.714438
10,4,Tilapia,-149.711,-88.0059,-0.81822,-149.657,-88.02,0,0.0567435,22.18,5.85053,7.9934,0.313574,0.466967,0.410789,0.537092
10,5,Tilapia,413.658,177.166,-0.961804,413.709,177.213,0,0.0696201,22.0901,5.80485,8.01479,0.711615,0.418816,0.603799,0.183479
10,6,Tilapia,-363.447,265.332,-0.67507,-363.532,265.2,0,0.157232,22.1323,5.87248,8.00118,0.480258,0.722051,0.135983,0.556212
10,7,Tilapia,258.993,-368.003,-0.889943,258.994,-367.958,0,0.044237,22.0021,5.79602,7.96942,0.475857,0.138636,0.721713,0.559995
10,8,Tilapia,-89.8457,-344.053,-1.0096,-89.8067,-344.086,0,0.0506059,22.0957,5.90893,8.00227,0.250282,0.366723,0.581298,0.640107
10,9,Tilapia,-169.34,309.148,-0.585881,-169.329,309.022,0,0.126743,22.0593,5.59373,8.0117,0.539546,0.653152,0.209443,0.423482
10,10,Tilapia,-438.697,-30.9271,-1.40898,-438.65,-30.9369,0,0.0482624,22.1159,5.93896,7.99951,0.279507,0.655051,0.320752,0.673639
10,11,Tilapia,37.1884,401.618,-0.567333,37.1909,401.721,0,0.102873,22.2238,5.73138,8.00324,0.654126,0.630949,0.326355,0.277076
10,12,Tilapia,62.0633,46.0449,-0.836318,62.045,45.9985,0,0.049925,22.1191,5.74777,8.00653,0.475245,0.41978,0.434801,0.373405
10,13,Tilapia,-173.571,213.197,-1.296,-173.587,213.105,0,0.0934931,22.1503,5.82455,7.98975,0.47894,0.606872,0.242706,0.44469
10,14,Tilapia,-163.643,-309.44,-1.03318,-163.569,-309.536,0,0.120714,22.1231,5.81239,8.00284,0.212641,0.419595,0.541135,0.650888
10,15,Tilapia,-332.059,-316.425,-0.585581,-332.043,-316.359,0,0.0675918,22.0678,5.58672,7.99808,0.118833,0.528851,0.516857,0.730064
10,16,Tilapia,181.977,-410.349,-1.98211,181.95,-410.143,0,0.208202,22.048,6.03648,8.00494,0.422191,0.180706,0.711573,0.600714
10,17,Tilapia,312.833,243.924,-1.15836,312.761,243.961,0,0.0808284,22.0491,5.77215,7.98833,0.687474,0.471615,0.526748,0.165037
10,18,Tilapia,-253.167,296.763,-1.85113,-253.111,296.822,0,0.0814278,22.1039,5.79969,7.98127,0.514925,0.68386,0.16634,0.47976
10,19,Tilapia,-190.896,-343.395,-0.692275,-190.859,-343.396,0,0.0360854,21.8033,5.66055,8.00374,0.186807,0.433094,0.556406,0.679956
10,20,Tilapia,-418.521,48.0899,-0.782568,-418.528,48.0511,0,0.0393473,21.9854,5.80283,7.99743,0.332684,0.667518,0.268801,0.637945
10,21,Tilapia,-196.649,-404.757,-1.90791,-196.628,-404.843,0,0.0879345,22.1065,5.7443,7.99777,0.171559,0.432123,0.594393,0.714545
10,22,Tilapia,347.983,109.751,-1.60623,348.034,109.737,0,0.0536843,22.1018,5.71622,7.99941,0.649849,0.37928,0.578329,0.236834
10,23,Tilapia,158.13,235.334,-0.580096,158.117,235.348,0,0.0187297,22.1631,5.6502,8.01017,0.610833,0.496573,0.429896,0.241566
10,24,Tilapia,-125.107,444.822,-0.496535,-125.132,444.778,0,0.0504904,22.009,5.95798,7.99576,0.634684,0.709174,0.216669,0.383507
10,25,Tilapia,117.109,-287.066,-0.24516,117.191,-286.868,0,0.213794,22.1233,5.78672,7.98506,0.393516,0.247091,0.619838,0.539206
10,26,Tilapia,77.9133,-182.849,-0.871674,77.9126,-182.898,0,0.0483943,22.1246,5.84421,8.01127,0.394436,0.305367,0.549459,0.489456
10,27,Tilapia,-75.7466,9.45862,-0.871997,-75.6592,9.57016,0,0.1417,22.0485,5.76043,7.9961,0.395163,0.465407,0.385284,0.457276
